sottocartella,profondita,file_diretti,file_ricorsivi,byte_ricorsivi,ultimo_mtime_utc,estensioni_principali_ricorsive
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_00_WF4_LR_+00.0deg,4,10,22,802085,2026-08-11T15:29:04+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_00_WF4_LR_+00.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_00_WF4_LR_+00.0deg/output,5,3,3,548544,2026-08-11T15:29:04+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_01_WF4_LR_+15.0deg,4,10,22,802087,2026-08-11T15:29:05+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_01_WF4_LR_+15.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_01_WF4_LR_+15.0deg/output,5,3,3,548544,2026-08-11T15:29:05+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_02_WF4_LR_+30.0deg,4,10,22,802087,2026-08-11T15:29:06+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_02_WF4_LR_+30.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_02_WF4_LR_+30.0deg/output,5,3,3,548544,2026-08-11T15:29:06+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_03_WF4_LR_+15.0deg,4,10,22,802087,2026-08-11T15:29:07+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_03_WF4_LR_+15.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_03_WF4_LR_+15.0deg/output,5,3,3,548544,2026-08-11T15:29:07+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_04_WF4_LR_+00.0deg,4,10,22,802085,2026-08-11T15:29:09+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_04_WF4_LR_+00.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_04_WF4_LR_+00.0deg/output,5,3,3,548544,2026-08-11T15:29:09+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_05_WF4_LR_-15.0deg,4,10,22,802089,2026-08-11T15:29:10+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_05_WF4_LR_-15.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_05_WF4_LR_-15.0deg/output,5,3,3,548544,2026-08-11T15:29:10+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_06_WF4_LR_-30.0deg,4,10,22,802089,2026-08-11T15:29:11+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_06_WF4_LR_-30.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_06_WF4_LR_-30.0deg/output,5,3,3,548544,2026-08-11T15:29:11+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_07_WF4_LR_-15.0deg,4,10,22,802089,2026-08-11T15:29:12+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_07_WF4_LR_-15.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_07_WF4_LR_-15.0deg/output,5,3,3,548544,2026-08-11T15:29:12+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_08_WF4_LR_+00.0deg,4,10,22,802085,2026-08-11T15:29:13+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_08_WF4_LR_+00.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_08_WF4_LR_+00.0deg/output,5,3,3,548544,2026-08-11T15:29:13+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_09_WF2_LR_+00.0deg,4,10,22,802085,2026-08-11T15:29:15+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_09_WF2_LR_+00.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_09_WF2_LR_+00.0deg/output,5,3,3,548544,2026-08-11T15:29:15+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_10_WF2_LR_+15.0deg,4,10,22,802087,2026-08-11T15:29:16+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_10_WF2_LR_+15.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_10_WF2_LR_+15.0deg/output,5,3,3,548544,2026-08-11T15:29:16+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_11_WF2_LR_+30.0deg,4,10,22,802087,2026-08-11T15:29:17+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_11_WF2_LR_+30.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_11_WF2_LR_+30.0deg/output,5,3,3,548544,2026-08-11T15:29:17+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_12_WF2_LR_+15.0deg,4,10,22,802087,2026-08-11T15:29:18+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_12_WF2_LR_+15.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_12_WF2_LR_+15.0deg/output,5,3,3,548544,2026-08-11T15:29:18+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_13_WF2_LR_+00.0deg,4,10,22,802085,2026-08-11T15:29:19+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_13_WF2_LR_+00.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_13_WF2_LR_+00.0deg/output,5,3,3,548544,2026-08-11T15:29:19+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_14_WF2_LR_-15.0deg,4,10,22,802089,2026-08-11T15:29:21+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_14_WF2_LR_-15.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_14_WF2_LR_-15.0deg/output,5,3,3,548544,2026-08-11T15:29:21+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_15_WF2_LR_-30.0deg,4,10,22,802089,2026-08-11T15:29:22+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_15_WF2_LR_-30.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_15_WF2_LR_-30.0deg/output,5,3,3,548544,2026-08-11T15:29:22+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_16_WF2_LR_-15.0deg,4,10,22,802089,2026-08-11T15:29:23+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_16_WF2_LR_-15.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_16_WF2_LR_-15.0deg/output,5,3,3,548544,2026-08-11T15:29:23+00:00,.h5:3
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_17_WF2_LR_+00.0deg,4,10,22,802085,2026-08-11T15:29:24+00:00,.dat:9; .in:5; .h5:4; .log:3; .vtu:1
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_17_WF2_LR_+00.0deg/airfoilsection,5,9,9,11981,2026-05-07T15:37:31+00:00,.dat:9
BFF_DUST_55/CASE_DUST_SMOKE/SURFACE_SEQUENCE_4231/frame_17_WF2_LR_+00.0deg/output,5,3,3,548544,2026-08-11T15:29:24+00:00,.h5:3
